Desde,Hasta,Distancia,Linea,Color
Pantitlán,Zaragoza,1320,1,pink
Zaragoza,Gómez Farías,762,1,pink
Gómez Farías,Boulevard Puerto Aéreo,611,1,pink
Boulevard Puerto Aéreo,Balbuena,595,1,pink
Balbuena,Moctezuma,703,1,pink
Moctezuma,San Lázaro,478,1,pink
San Lázaro,Candelaria,866,1,pink
Candelaria,Merced,698,1,pink
Merced,Pino Suárez,745,1,pink
Pino Suárez,Isabel la Católica,382,1,pink
Isabel la Católica,Salto del Agua,445,1,pink
Salto del Agua,Balderas,458,1,pink
Balderas,Cuauhtémoc,409,1,pink
Cuauhtémoc,Insurgentes,793,1,pink
Insurgentes,Sevilla,645,1,pink
Sevilla,Chapultepec,501,1,pink
Chapultepec,Juanacatlán,973,1,pink
Juanacatlán,Tacubaya,1158,1,pink
Tacubaya,Observatorio,1262,1,pink
Cuatro Caminos,Panteones,1639,2,royalblue
Panteones,Tacuba,1416,2,royalblue
Tacuba,Cuitláhuac,637,2,royalblue
Cuitláhuac,Popotla,620,2,royalblue
Popotla,Colegio Militar,462,2,royalblue
Colegio Militar,Normal,516,2,royalblue
Normal,San Cosme,657,2,royalblue
San Cosme,Revolución,537,2,royalblue
Revolución,Hidalgo,587,2,royalblue
Hidalgo,Bellas Artes,447,2,royalblue
Bellas Artes,Allende,387,2,royalblue
Allende,Zócalo,602,2,royalblue
Zócalo,Pino Suárez,745,2,royalblue
Pino Suárez,San Antonio Abad,817,2,royalblue
San Antonio Abad,Chabacano,642,2,royalblue
Chabacano,Viaducto,774,2,royalblue
Viaducto,Xola,490,2,royalblue
Xola,Villa de Cortés,698,2,royalblue
Villa de Cortés,Nativitas,750,2,royalblue
Nativitas,Portales,924,2,royalblue
Portales,Ermita,748,2,royalblue
Ermita,General Anaya,838,2,royalblue
General Anaya,Tasqueña,1330,2,royalblue
Indios Verdes,Deportivo 18 de Marzo,1166,3,olive
Deportivo 18 de Marzo,Potrero,966,3,olive
Potrero,La Raza,1106,3,olive
La Raza,Tlatelolco,1445,3,olive
Tlatelolco,Guerrero,1042,3,olive
Guerrero,Hidalgo,702,3,olive
